Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TotalCorners,TotalYellowCards,TotalGoals,BothTeamsScored,2ndHalfHomeGoals,2ndHalfAwayGoals,2ndHalfTotalGoals,HomeForm,AwayForm
SP1,2020-01-05,Alaves,Betis,1,1,D,1,0,H,6,10,1,3,3,6,18,15,7,3,0,1,9,10,2,1,0,1,1,4,10
SP1,2020-01-05,Celta,Osasuna,1,1,D,0,0,D,20,8,7,1,6,1,14,19,4,3,0,0,7,7,2,1,1,1,2,5,4
SP1,2020-01-17,Leganes,Getafe,0,3,A,0,3,A,8,8,2,4,4,4,22,18,6,4,0,0,8,10,3,0,0,0,0,8,9
SP1,2020-01-18,Levante,Alaves,0,1,A,0,0,D,20,14,3,6,7,6,12,20,2,4,0,0,13,6,1,0,0,1,1,6,2
SP1,2020-01-18,Real Madrid,Sevilla,2,1,H,0,0,D,13,8,4,3,2,4,17,12,3,1,0,0,6,4,3,1,2,1,3,9,8
SP1,2020-01-18,Osasuna,Valladolid,0,0,D,0,0,D,21,5,5,3,9,1,16,10,2,2,0,0,10,4,0,0,0,0,0,5,4
SP1,2020-01-18,Eibar,Ath Madrid,2,0,H,1,0,H,9,12,4,4,6,7,16,14,1,2,0,0,13,3,2,0,1,0,1,4,10
SP1,2020-01-19,Mallorca,Valencia,4,1,H,3,0,H,13,8,6,1,1,6,18,11,4,4,0,1,7,8,5,1,1,1,2,1,11
SP1,2020-01-19,Betis,Sociedad,3,0,H,2,0,H,14,7,6,0,6,2,8,10,3,1,0,0,8,4,3,0,1,0,1,8,8
SP1,2020-01-19,Villarreal,Espanol,1,2,A,0,1,A,21,16,5,5,4,4,15,18,1,3,0,1,8,4,3,1,1,1,2,10,2
SP1,2020-01-19,Ath Bilbao,Celta,1,1,D,0,0,D,22,7,6,3,13,0,18,12,4,3,0,0,13,7,2,1,1,1,2,6,3
SP1,2020-01-19,Barcelona,Granada,1,0,H,0,0,D,18,5,6,1,7,0,11,17,0,4,0,1,7,4,1,0,1,0,1,9,6
SP1,2020-01-24,Osasuna,Levante,2,0,H,0,0,D,15,6,3,2,5,5,18,11,3,3,0,0,10,6,2,0,2,0,2,3,6
SP1,2020-01-25,Espanol,Ath Bilbao,1,1,D,0,1,A,9,11,3,3,2,3,14,14,3,1,0,0,5,4,2,1,1,0,1,5,4
